date, price
2017-01-04,71.85
2017-01-05,72.5
2017-01-06,72.65
2017-01-09,72.45
2017-01-10,72.4
2017-01-11,72.4
2017-01-12,73.15
2017-01-13,72.6
2017-01-16,72
2017-01-17,72.3
2017-01-18,72.15
2017-01-19,71.95
2017-01-20,72.15
2017-01-23,72.75
2017-01-24,73.3
2017-02-02,72.9
2017-02-03,72.85
2017-02-06,73.25
2017-02-07,73.3
2017-02-08,71.75
2017-02-09,72
2017-02-10,72.8
2017-02-13,72.95
2017-02-14,73.2
2017-02-15,73.9
2017-02-16,73.45
2017-02-17,73.35
2017-02-18,73.5
2017-02-20,73.1
2017-02-21,73.25
2017-02-22,73.3
2017-02-23,73.1
2017-02-24,73.15
2017-03-01,72.35
2017-03-02,72.55
2017-03-03,72.1
2017-03-06,72.15
2017-03-07,72.45
2017-03-08,72.85
2017-03-09,72.05
2017-03-10,72
2017-03-13,72.5
2017-03-14,73
2017-03-15,72.85
2017-03-16,73.8
2017-03-17,74
2017-03-20,73.95
2017-03-21,74.9
2017-03-22,74.2
2017-03-23,74.35
2017-03-24,74.25
2017-03-27,74.2
2017-03-28,74.25
2017-03-29,74
2017-03-30,73.9
2017-03-31,73.7
2017-04-05,74.65
2017-04-06,74.4
2017-04-07,74.1
2017-04-10,74.2
2017-04-11,73.9
2017-04-12,74.05
2017-04-13,74.4
2017-04-14,73.55
2017-04-17,73.6
2017-04-18,73.6
2017-04-19,72.8
2017-04-20,72.8
2017-04-21,73.5
2017-04-24,73.65
2017-04-25,74.35
2017-04-26,74.55
2017-04-27,74.5
2017-04-28,74.55
2017-05-02,75.2
2017-05-03,75.55
2017-05-04,75.65
2017-05-05,75.15
2017-05-08,75.7
2017-05-09,75.95
2017-05-10,76.25
2017-05-11,76.5
2017-05-12,76.3
2017-05-15,76.5
2017-05-16,76.5
2017-05-17,76.3
2017-05-18,75.9
2017-05-19,75.85
2017-05-22,76.05
2017-05-23,76.35
2017-05-24,76.3
2017-05-25,77
2017-05-26,76.95
2017-05-31,76.5
2017-06-01,76.9
2017-06-02,77.2
2017-06-03,77.4
2017-06-05,78
2017-06-06,77.95
2017-06-07,77.95
2017-06-08,78.25
2017-06-09,78
2017-06-12,77.15
2017-06-13,77.25
2017-06-14,76.85
2017-06-15,76.9
2017-06-16,77.7
2017-06-19,78.55
2017-06-20,79.45
2017-06-21,79.55
2017-06-22,79.75
2017-06-23,79.7
2017-06-26,81.4
2017-06-27,81.3
2017-06-28,80.55
2017-06-29,80.65
2017-06-30,80.4
2017-07-03,80.45
2017-07-04,80
2017-07-05,80.75
2017-07-06,80.4
2017-07-07,79.95
2017-07-10,80.35
2017-07-11,81.55
2017-07-12,81.55
2017-07-13,82.2
2017-07-14,82.05
2017-07-17,82.2
2017-07-18,82.4
2017-07-19,82.7
2017-07-20,82.65
2017-07-21,82.1
2017-07-24,82.3
2017-07-25,82.45
2017-07-26,82.15
2017-07-27,83
2017-07-28,82.1
