date,price
2017-01-04,18.4
2017-01-05,18.45
2017-01-06,18.5
2017-01-09,18.3
2017-01-10,18.25
2017-01-11,18.4
2017-01-12,18.55
2017-01-13,18.5
2017-01-16,18.3
2017-01-17,18.5
2017-01-18,18.5
2017-01-19,18.3
2017-01-20,18.45
2017-01-23,18.5
2017-01-24,18.45
2017-02-02,18.25
2017-02-03,18.25
2017-02-06,18.4
2017-02-07,18.4
2017-02-08,18.35
2017-02-09,18.4
2017-02-10,18.6
2017-02-13,18.7
2017-02-14,18.7
2017-02-15,18.9
2017-02-16,19
2017-02-17,18.8
2017-02-18,18.9
2017-02-20,18.75
2017-02-21,18.7
2017-02-22,18.7
2017-02-23,18.6
2017-02-24,18.65
2017-03-01,18.65
2017-03-02,18.35
2017-03-03,18.1
2017-03-06,18.1
2017-03-07,18.3
2017-03-08,18.35
2017-03-09,18.3
2017-03-10,18.2
2017-03-13,18.2
2017-03-14,18.35
2017-03-15,18.25
2017-03-16,18.25
2017-03-17,18.35
2017-03-20,18.3
2017-03-21,18.4
2017-03-22,18.45
2017-03-23,18.4
2017-03-24,18.3
2017-03-27,18.25
2017-03-28,18.3
2017-03-29,18.3
2017-03-30,18.35
2017-03-31,18.45
2017-04-05,18.55
2017-04-06,18.55
2017-04-07,18.55
2017-04-10,18.75
2017-04-11,18.75
2017-04-12,18.75
2017-04-13,18.8
2017-04-14,18.55
2017-04-17,18.5
2017-04-18,18.45
2017-04-19,18.3
2017-04-20,18.3
2017-04-21,18.4
2017-04-24,18.25
2017-04-25,18.45
2017-04-26,18.45
2017-04-27,18.35
2017-04-28,18.25
2017-05-02,18.4
2017-05-03,18.5
2017-05-04,18.45
2017-05-05,18.45
2017-05-08,18.45
2017-05-09,18.3
2017-05-10,18.3
2017-05-11,18.4
2017-05-12,18.45
2017-05-15,18.45
2017-05-16,18.5
2017-05-17,18.7
2017-05-18,18.7
2017-05-19,18.65
2017-05-22,18.65
2017-05-23,18.7
2017-05-24,18.65
2017-05-25,18.7
2017-05-26,18.75
2017-05-31,18.6
2017-06-01,18.6
2017-06-02,18.65
2017-06-03,18.65
2017-06-05,18.7
2017-06-06,18.6
2017-06-07,18.6
2017-06-08,18.6
2017-06-09,18.55
2017-06-12,18.55
2017-06-13,18.55
2017-06-14,18.4
2017-06-15,18.55
2017-06-16,18.5
2017-06-19,18.5
